,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
10,VC_10_0,4,895.5745647465392,3619.2529833725152,0.1983629618632165,1.7275716127112437e-05,3.0,6.244997998398398,6,6,1.0,4.99911313301605,2,1,1,"Dinoroseobacter~phage~DFL12phi1,Silicibacter~phage~DSS3phi2,Sulfitobacter~phage~EE36phi1,Sulfitobacter~phage~phiCB2047-B"
11,VC_110_0,1,0,612.6832314179937,0.0,0.0,0,0,1,1,1,0,1,1,1,contigs_cluasted870;size=1
12,VC_111_0,4,240.88729093016886,72.67406265816295,0.7682301666755297,0.0012073244568794233,2.23606797749979,4.242640687119285,6,6,1.0,3.7232601081392924,1,1,1,"Gordonia~phage~GMA5,Gordonia~phage~GRU3,Gordonia~phage~McGonagall,Rhodococcus~phage~RRH1"
13,VC_112_0,2,300.0,0,1.0,0.0,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,1,1,1,"Arthrobacter~phage~KellEzio,Arthrobacter~phage~Kitkat"
14,VC_113_0,2,50.267404462375715,262.5084507627523,0.16071382628366415,0.04944003616609494,8.94427190999916,8.94427190999916,1,1,1.0,8.94427190999916,2,1,1,"Gordonia~phage~BritBrat,Gordonia~phage~Lucky10"
15,VC_113_1,1,0,128.92945269736282,0.0,0.0,0,0,1,1,1,0,1,1,1,Gordonia~phage~GAL1
16,VC_114_0,9,4612.574783653696,4093.633158327884,0.5298029652395195,1.260838373347433e-22,1.4142135623730951,7.483314773547883,36,36,1.0,5.328502076066962,1,1,1,"Mycobacterium~phage~Angel,Mycobacterium~phage~Cambiare,Mycobacterium~phage~FlagStaff,Mycobacterium~phage~Jolie2,Mycobacterium~phage~Leo,Mycobacterium~phage~MOOREtheMARYer,Mycobacterium~phage~Sneeze,Mycobacterium~virus~Halo,Mycobacterium~virus~Liefie"
17,VC_115_0,2,299.1384878903359,3748.642999778717,0.07390183704372767,0.045102680439914944,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,2,1,1,"Mycobacterium~phage~Cheetobro,Mycobacterium~virus~Fionnbarth"
18,VC_115_1,5,2435.1749781582994,8344.805255471061,0.2258979075454607,6.02301534633908e-08,2.0,5.5677643628300215,10,10,1.0,4.683666226917148,2,1,1,"Mycobacterium~phage~Gengar,Mycobacterium~phage~Kratio,Mycobacterium~phage~OkiRoe,Mycobacterium~phage~Omnicron,Mycobacterium~virus~Larva"
19,VC_115_2,13,13574.737304910579,11980.943751818351,0.5311827642071894,1.0254758914515272e-43,1.4142135623730951,9.16515138991168,78,62,0.7948717948717948,7.0466239728963345,2,1,1,"Mycobacterium~phage~BarrelRoll,Mycobacterium~phage~Enkosi,Mycobacterium~phage~Keshu,Mycobacterium~phage~Milly,Mycobacterium~phage~Mufasa,Mycobacterium~phage~Murucutumbu,Mycobacterium~phage~ShedlockHolmes,Mycobacterium~phage~TM4,Mycobacterium~phage~Validus,Mycobacterium~phage~ZoeJ,Mycobacterium~virus~Anaya,Mycobacterium~virus~Angelica,Mycobacterium~virus~Crimd"
20,VC_116_0,2,27.578620522600414,22.667027233716265,0.5488758082362137,0.10564977366685535,4.0,4.0,1,1,1.0,4.0,1,1,1,"contigs_cluasted1004;size=3,contigs_cluasted2071;size=1"
21,VC_117_0,2,48.280773967560386,33.65996816253334,0.5892157272740722,0.18554668476134878,6.48074069840786,6.48074069840786,1,1,1.0,6.48074069840786,1,1,1,"Rhizobium~phage~RR1-A,Rhizobium~phage~vB_RleM_PPF1"
22,VC_118_0,3,409.37180038650297,1293.3107816253705,0.2404275492750934,0.0016476228668464768,3.7416573867739413,4.358898943540674,3,3,1.0,3.9911798921740105,1,1,1,"Vibrio~phage~VHML,Vibrio~phage~VP585,Vibrio~phage~vB_VpaM_MAR"
23,VC_119_0,1,0,3.118501749672036,0.0,0.0,0,0,1,1,1,0,1,1,1,Bacillus~phage~0305phi8-36
24,VC_119_1,1,0,13.51527438686056,0.0,0.0,0,0,1,1,1,0,1,1,1,Brevibacillus~phage~Jenst
25,VC_11_0,5,1001.9972693361376,4166.965181897142,0.1938488195241325,7.392587476923994e-08,2.6457513110645907,9.1104335791443,10,8,0.8,7.117822222149175,2,1,1,"Enterobacter~phage~EcP1,Erwinia~phage~vB_EamP-S6,Escherichia~phage~Pollock,Salmonella~phage~FSL~SP-058,Salmonella~phage~FSL~SP-076"
26,VC_120_0,1,0,123.90433739382547,0.0,0.0,0,0,1,1,1,0,1,1,1,Bacillus~phage~AR9
27,VC_120_1,1,0,114.50739415643518,0.0,0.0,0,0,1,1,1,0,1,1,1,Yersinia~phage~phiR1-37
28,VC_121_0,2,300.0,118.17378872606743,0.7174050791512441,0.12078329348448641,4.795831523312719,4.795831523312719,1,1,1.0,4.795831523312719,1,1,1,"contigs_cluasted18;size=1,contigs_cluasted5;size=1"
29,VC_122_0,4,472.2807034080497,395.63126339962116,0.5441573817044822,2.4498036591682932e-05,1.7320508075688772,3.4641016151377544,6,6,1.0,2.562948828843114,1,1,1,"Bacillus~phage~Aurora,Bacillus~phage~Claudi,Bacillus~phage~MG-B1,Bacillus~phage~Stitch"
30,VC_124_0,14,1304.8422975685648,2668.628027380589,0.32838858500478724,1.5378421836356164e-42,1.0,4.795831523312719,91,91,1.0,3.7010738033471817,1,1,1,"contigs_cluasted100000129;size=1,contigs_cluasted10000070;size=1,contigs_cluasted1705;size=1,contigs_cluasted1868;size=2,contigs_cluasted1909;size=1,contigs_cluasted1937;size=1,contigs_cluasted1982;size=3,contigs_cluasted2119;size=1,contigs_cluasted2165;size=1,contigs_cluasted2218;size=1,contigs_cluasted2524;size=1,contigs_cluasted3613;size=1,contigs_cluasted3765;size=1,contigs_cluasted4355;size=1"
31,VC_126_0,6,479.645780694292,271.52568925619676,0.6385303487709757,1.8130019467180208e-09,0.0,4.358898943540674,15,15,1.0,3.2714677189453862,1,1,1,"contigs_cluasted1619;size=1,contigs_cluasted1628;size=1,contigs_cluasted1800;size=1,contigs_cluasted2050;size=2,contigs_cluasted2380;size=1,contigs_cluasted2696;size=1"
32,VC_128_0,12,19800.0,45162.65742347506,0.3047904871090607,2.99756542567121e-32,3.3166247903554,6.557438524302,66,66,1.0,5.4949136959912925,1,2,1,"Bacillus~phage~Belinda,Bacillus~phage~DIGNKC,Bacillus~phage~DirtyBetty,Bacillus~phage~Eyuki,Bacillus~phage~Hakuna,Bacillus~phage~Kida,Bacillus~phage~Megatron,Bacillus~phage~Nemo,Bacillus~phage~Nigalana,Bacillus~phage~NotTheCreek,Bacillus~phage~SageFayge,Bacillus~phage~Zuko"
33,VC_128_1,4,1800.0,24544.765833979793,0.06832476748297146,0.0010328401297988502,5.385164807134504,8.831760866327848,6,6,1.0,7.10151323004483,1,2,1,"Bacillus~phage~BPS10C,Bacillus~phage~BPS13,Bacillus~phage~SalinJah,Bacillus~phage~W.Ph."
34,VC_129_0,2,300.0,930.7913518101852,0.24374561907570708,0.04664970350994174,2.8284271247461903,2.8284271247461903,1,1,1.0,2.8284271247461903,1,1,1,"Bacillus~phage~CampHawk,Bacillus~virus~SPO1"
35,VC_129_1,3,900.0,739.638343236877,0.5489015328973542,0.003381872292399094,2.6457513110645907,5.744562646538029,3,3,1.0,4.6225131775514265,1,1,1,"Bacillus~phage~CP-51,Bacillus~phage~JL,Bacillus~phage~Shanette"
36,VC_12_0,3,650.395771012468,1710.3316386391032,0.2755065105583124,0.001637396177879209,1.0,7.3484692283495345,3,3,1.0,5.209526372543351,1,1,1,"Pseudoalteromonas~phage~pYD6-A,Vibrio~phage~VBP32,Vibrio~phage~VBP47"
37,VC_130_0,1,0,378.3391527447813,0.0,0.0,0,0,1,1,1,0,1,1,1,Bacillus~phage~vB_BanS-Tsamsa
38,VC_130_1,1,0,212.44163339267433,0.0,0.0,0,0,1,1,1,0,1,1,1,Brevibacillus~phage~Sundance
39,VC_130_2,1,0,85.75148571012245,0.0,0.0,0,0,1,1,1,0,1,1,1,Bacillus~virus~SPbeta
40,VC_130_3,1,0,188.54649549459802,0.0,0.0,0,0,1,1,1,0,1,1,1,Staphylococcus~phage~SPbeta-like
41,VC_130_4,1,0,154.0861135284839,0.0,0.0,0,0,1,1,1,0,1,1,1,Geobacillus~virus~E3
42,VC_132_0,11,16500.0,14858.162754315576,0.5261787857048237,1.4560645359006166e-34,1.7320508075688772,6.48074069840786,55,55,1.0,4.97246560044684,2,2,1,"Listeria~phage~LMSP-25,Listeria~phage~LMTA-148,Listeria~phage~LMTA-34,Listeria~phage~LP-048,Listeria~phage~LP-064,Listeria~phage~LP-083-2,Listeria~phage~LP-125,Listeria~phage~List-36,Listeria~phage~vB_LmoM_AG20,Listeria~virus~A511,Listeria~virus~P100"
43,VC_133_0,2,51.53711219082879,282.1526765646681,0.15444617704077052,0.05284858885974558,6.855654600401044,6.855654600401044,1,1,1.0,6.855654600401044,1,1,1,"Clostridium~phage~phiCTP1,Streptococcus~phage~Dp-1"
44,VC_134_0,2,48.271332860331384,14.352236562022059,0.7708173345210336,0.14442218317324246,8.0,8.0,1,1,1.0,8.0,1,2,2,"Bacillus~phage~BCD7,contigs_cluasted85;size=3"
45,VC_135_0,2,259.8648114044663,349.668063167159,0.42633436561907695,0.04785765925697156,3.872983346207417,3.872983346207417,1,1,1.0,3.872983346207417,1,1,1,"contigs_cluasted167;size=2,contigs_cluasted265;size=3"
46,VC_137_0,4,123.63613403229529,374.5486920598554,0.24817322318328894,0.0001727585249501043,2.6457513110645907,6.0,6,6,1.0,4.649764065059131,1,2,2,"Lactobacillus~phage~phig1e,contigs_cluasted2069;size=1,contigs_cluasted2415;size=1,contigs_cluasted2743;size=1"
47,VC_139_0,5,845.5986039487353,367.9513139643359,0.6967975453394635,1.0344164637158467e-06,5.385164807134504,9.643650760992955,10,8,0.8,7.745253748940689,1,1,1,"Listeria~phage~A118,Listeria~phage~A500,Listeria~phage~LP-030-3,Listeria~phage~vB_LmoS_188,Listeria~phage~vB_LmoS_293"
48,VC_13_0,9,9849.4429802148,5829.448207218379,0.6281976743425102,6.717915834979804e-23,1.4142135623730951,3.605551275463989,36,36,1.0,2.543995407481495,2,1,1,"Pseudomonas~phage~DL64,Pseudomonas~phage~LIT1,Pseudomonas~phage~PA26,Pseudomonas~phage~PEV2,Pseudomonas~phage~Pa2,Pseudomonas~phage~YH30,Pseudomonas~phage~YH6,Pseudomonas~phage~vB_PaeP_C2-10_Ab09,Pseudomonas~phage~vB_PaeP_MAG4"
49,VC_140_0,9,4951.71742858722,1965.7773357172493,0.7158252513813212,3.401076771421933e-21,0.0,7.211102550927978,36,36,1.0,5.7411500911019395,1,1,1,"Paenibacillus~phage~Diva,Paenibacillus~phage~Fern,Paenibacillus~phage~HB10c2,Paenibacillus~phage~Rani,Paenibacillus~phage~Shelly,Paenibacillus~phage~Sitara,Paenibacillus~phage~Willow,Paenibacillus~phage~Xenia,Paenibacillus~phage~phiIBB_Pl23"
50,VC_142_0,15,7116.642595617182,4353.656777320327,0.6204408764088458,1.067003292556985e-49,2.6457513110645907,9.327379053088816,105,104,0.9904761904761905,6.85608251650638,5,2,2,"Streptococcus~phage~20617,Streptococcus~phage~TP-778L,Streptococcus~phage~TP-J34,Streptococcus~phage~YMC-2011,Streptococcus~virus~2972,Streptococcus~virus~7201,Streptococcus~virus~858,Streptococcus~virus~ALQ132,Streptococcus~virus~DT1,Streptococcus~virus~O1205,Streptococcus~virus~Sfi11,Streptococcus~virus~Sfi19,Streptococcus~virus~Sfi21,Streptococcus~virus~phiAbc2,contigs_cluasted111;size=2"
51,VC_143_0,5,816.8792958048539,1918.0141084565698,0.29868780060386213,5.54528306219521e-08,3.3166247903554,7.483314773547883,10,10,1.0,6.092158641006813,1,1,1,"Streptococcus~phage~A25,Streptococcus~phage~MM1,Streptococcus~phage~phiARI0468-4,Streptococcus~phage~phiBHN167,Streptococcus~phage~phiNJ2"
52,VC_144_0,18,2556.245158080983,1441.7725610453724,0.639378146287849,1.498705925935096e-14,2.8284271247461903,8.660254037844387,153,153,1.0,6.4916208174022785,1,2,2,"Clostridium~phage~vB_CpeS-CP51,contigs_cluasted10000024;size=1,contigs_cluasted1189;size=1,contigs_cluasted1242;size=1,contigs_cluasted1285;size=1,contigs_cluasted1297;size=1,contigs_cluasted1307;size=1,contigs_cluasted1320;size=1,contigs_cluasted1501;size=1,contigs_cluasted2178;size=1,contigs_cluasted2276;size=1,contigs_cluasted2591;size=1,contigs_cluasted2645;size=1,contigs_cluasted2913;size=1,contigs_cluasted536;size=1,contigs_cluasted556;size=1,contigs_cluasted602;size=4,contigs_cluasted706;size=1"
53,VC_144_1,1,0,1062.1187467863292,0.0,0.0,0,0,1,1,1,0,1,1,1,contigs_cluasted161;size=3
54,VC_146_0,3,74.3855220532649,213.89429468237054,0.2580323620833973,0.0032737693222360705,7.615773105863909,8.12403840463596,3,3,1.0,7.87127312817056,1,2,2,"Erysipelothrix~phage~SE-1,contigs_cluasted539;size=1,contigs_cluasted640;size=1"
55,VC_147_0,15,853.6645077038121,3196.9268607990266,0.21075058677650313,3.311615451208505e-06,3.872983346207417,7.937253933193772,105,105,1.0,6.14652078352238,1,2,2,"Bacillus~phage~BCJA1c,contigs_cluasted100000126;size=1,contigs_cluasted1033;size=1,contigs_cluasted1179;size=2,contigs_cluasted1260;size=1,contigs_cluasted1490;size=1,contigs_cluasted1672;size=1,contigs_cluasted1753;size=1,contigs_cluasted1929;size=1,contigs_cluasted1934;size=3,contigs_cluasted2046;size=1,contigs_cluasted2181;size=1,contigs_cluasted673;size=1,contigs_cluasted818;size=1,contigs_cluasted997;size=1"
56,VC_149_0,2,24.4994625123966,249.68640557005054,0.0893534837653619,0.09385011854383457,4.898979485566356,4.898979485566356,1,1,1.0,4.898979485566356,1,1,1,"contigs_cluasted2908;size=1,contigs_cluasted3133;size=1"
57,VC_150_0,3,210.0571768260933,802.9852444398521,0.20735279433174772,0.0019183798488138144,2.8284271247461903,7.0,3,3,1.0,5.5122103524151855,1,2,2,"Streptococcus~phage~315.6,Streptococcus~phage~P9,contigs_cluasted1144;size=1"
58,VC_151_0,4,202.24395642683996,124.52849692046088,0.6189137253007392,0.0006877956336232928,1.7320508075688772,4.123105625617661,6,6,1.0,3.1836479698904476,1,1,1,"contigs_cluasted100000120;size=1,contigs_cluasted1082;size=1,contigs_cluasted1634;size=1,contigs_cluasted2408;size=1"
59,VC_152_0,14,2447.9148754260955,1672.8423607823288,0.5940449133757905,3.298840239619771e-46,4.123105625617661,8.888194417315589,91,91,1.0,6.580647048938546,1,1,1,"contigs_cluasted10000065;size=1,contigs_cluasted1279;size=1,contigs_cluasted1461;size=1,contigs_cluasted1473;size=1,contigs_cluasted1804;size=1,contigs_cluasted2148;size=1,contigs_cluasted391;size=1,contigs_cluasted410;size=1,contigs_cluasted429;size=2,contigs_cluasted546;size=1,contigs_cluasted565;size=1,contigs_cluasted654;size=1,contigs_cluasted783;size=1,contigs_cluasted834;size=1"
60,VC_153_0,10,821.2329283271284,1331.1212937725948,0.38155101046795953,3.4523580709002494e-11,3.872983346207417,9.746794344808963,45,39,0.8666666666666667,7.278683179208162,1,1,1,"contigs_cluasted1293;size=1,contigs_cluasted1305;size=1,contigs_cluasted2081;size=1,contigs_cluasted2588;size=1,contigs_cluasted2947;size=1,contigs_cluasted509;size=2,contigs_cluasted519;size=2,contigs_cluasted543;size=1,contigs_cluasted549;size=3,contigs_cluasted591;size=1"
61,VC_154_0,22,8193.094213167255,9258.42739038626,0.4694773555733364,1.9802816725550145e-94,0.0,9.746794344808963,231,227,0.9826839826839827,6.105919731794395,1,1,1,"contigs_cluasted10000057;size=1,contigs_cluasted1104;size=1,contigs_cluasted1137;size=1,contigs_cluasted1146;size=1,contigs_cluasted1325;size=1,contigs_cluasted1673;size=1,contigs_cluasted1709;size=1,contigs_cluasted1801;size=4,contigs_cluasted1895;size=1,contigs_cluasted2255;size=1,contigs_cluasted2310;size=1,contigs_cluasted2341;size=1,contigs_cluasted316;size=2,contigs_cluasted337;size=1,contigs_cluasted349;size=1,contigs_cluasted369;size=1,contigs_cluasted387;size=1,contigs_cluasted540;size=1,contigs_cluasted724;size=2,contigs_cluasted779;size=2,contigs_cluasted874;size=1,contigs_cluasted987;size=1"
62,VC_156_0,5,211.75924502583754,722.3001302917387,0.22670854832310877,6.144202341035383e-06,3.0,7.416198487095663,10,10,1.0,5.252088282677482,1,1,1,"contigs_cluasted1295;size=1,contigs_cluasted2247;size=1,contigs_cluasted3138;size=1,contigs_cluasted934;size=1,contigs_cluasted998;size=1"
63,VC_157_0,4,363.3115099410737,626.260932674066,0.36713988213025783,6.285291714563112e-05,2.8284271247461903,5.656854249492381,6,6,1.0,4.5858844575300965,1,1,1,"contigs_cluasted1253;size=1,contigs_cluasted1270;size=1,contigs_cluasted1667;size=1,contigs_cluasted888;size=1"
64,VC_159_0,9,666.7033305320028,884.5786642316909,0.42977571633167927,1.1988717233104356e-14,2.449489742783178,8.18535277187245,36,36,1.0,5.57837361888471,1,1,1,"contigs_cluasted10000052;size=1,contigs_cluasted1594;size=1,contigs_cluasted1713;size=1,contigs_cluasted1965;size=1,contigs_cluasted2636;size=1,contigs_cluasted362;size=1,contigs_cluasted385;size=1,contigs_cluasted551;size=1,contigs_cluasted860;size=1"
65,VC_15_0,11,8384.104429273797,2156.529928638056,0.7954079559718952,1.7705553486095254e-21,1.7320508075688772,6.4031242374328485,55,55,1.0,4.418312536957083,1,1,1,"Enterobacter~phage~Enc34,Proteus~phage~pPM_01,Providencia~phage~Redjac,Salmonella~phage~118970_sal1,Salmonella~phage~37,Salmonella~phage~BP12C,Salmonella~virus~Chi,Salmonella~virus~FSLSP030,Salmonella~virus~FSLSP088,Salmonella~virus~SPN19,Salmonella~virus~iEPS5"
66,VC_160_0,1,0,218.07665263135164,0.0,0.0,0,0,1,1,1,0,1,1,1,contigs_cluasted299;size=1
67,VC_161_0,4,260.8050358906836,300.31026966211414,0.46479757958793255,4.209589861797834e-05,2.449489742783178,4.47213595499958,6,6,1.0,3.4033189065964,1,1,1,"contigs_cluasted1581;size=1,contigs_cluasted2357;size=2,contigs_cluasted2409;size=1,contigs_cluasted2541;size=1"
68,VC_162_0,2,0,379.7130085747603,0.0,0.0,7.54983443527075,7.54983443527075,1,1,1.0,7.54983443527075,1,1,1,"contigs_cluasted1772;size=1,contigs_cluasted954;size=1"
69,VC_164_0,2,91.3198798812917,162.2909609827178,0.3600787709633398,0.056629042010834255,5.830951894845301,5.830951894845301,1,1,1.0,5.830951894845301,1,1,1,"contigs_cluasted1186;size=3,contigs_cluasted386;size=5"
70,VC_165_0,3,279.0720569979277,342.7850255261974,0.4487720166588294,0.0018013034532704142,2.6457513110645907,4.69041575982343,3,3,1.0,3.8983553381428977,1,1,1,"contigs_cluasted727;size=3,contigs_cluasted775;size=1,contigs_cluasted880;size=7"
71,VC_167_0,4,287.7794054904091,0,1.0,0.0,2.449489742783178,5.0,6,6,1.0,4.103212113082406,1,1,1,"Bacillus~phage~Bam35c,Bacillus~phage~GIL16c,Bacillus~phage~Wip1,Bacillus~virus~AP50"
72,VC_168_0,6,1188.3845329394294,754.869647953632,0.6115435359018672,1.1873618063771982e-09,2.23606797749979,8.48528137423857,15,15,1.0,6.15365655105758,2,1,1,"Bacillus~phage~BtCS33,Bacillus~phage~Fah,Bacillus~phage~Gamma,Bacillus~phage~phIS3501,Bacillus~phage~phiCM3,Bacillus~virus~Wbeta"
73,VC_169_0,2,122.47989684359275,178.08657548776685,0.407496870471184,0.053744803766234625,5.477225575051661,5.477225575051661,1,1,1.0,5.477225575051661,1,1,1,"Bacillus~virus~250,Bacillus~virus~IEBH"
74,VC_16_0,25,87896.13499270579,9692.04201751019,0.9006842599744886,6.672836090561027e-77,2.449489742783178,9.1104335791443,300,298,0.9933333333333333,5.630356127608128,5,1,1,"Citrobacter~phage~Michonne,Citrobacter~phage~Moogle,Citrobacter~phage~Mordin,Enterobacteriaphage~UAB_Phi87,Escherichia~coli~O157~typing~phage~1,Escherichia~phage~EC6,Escherichia~phage~HY02,Escherichia~phage~JH2,Escherichia~phage~SUSP1,Escherichia~phage~SUSP2,Escherichia~phage~vB_EcoM-VpaE1,Escherichia~phage~vB_EcoM_AYO145A,Escherichia~phage~vB_EcoM_Alf5,Escherichia~phage~wV8,Salmonella~phage~BPS15Q2,Salmonella~phage~BPS17L1,Salmonella~phage~BPS17W1,Salmonella~phage~FelixO1,Salmonella~phage~Mushroom,Salmonella~phage~Si3,Salmonella~phage~vB_SPuM_SP116,Shigella~phage~Sf13,Shigella~phage~Sf14,Shigella~phage~Sf17,Staphylococcus~phage~SA1"
75,VC_171_0,2,38.364699368864244,110.73783165597267,0.25730414571214494,0.05420928566198311,7.615773105863909,7.615773105863909,1,1,1.0,7.615773105863909,1,2,2,"Deep-sea~thermophilic~phage~D6E,Geobacillus~virus~E2"
76,VC_171_1,2,25.808059966981496,51.3641592322705,0.3344216381849447,0.07736446174268927,8.06225774829855,8.06225774829855,1,1,1.0,8.06225774829855,1,2,1,"Lactobacillus~phage~LBR48,Listeria~phage~B054"
77,VC_171_2,1,0,40.85344412195599,0.0,0.0,0,0,1,1,1,0,1,1,1,contigs_cluasted243;size=1
78,VC_172_0,2,140.8802142612031,42.64889471114595,0.7676178185032678,0.14442218317324246,2.23606797749979,2.23606797749979,1,1,1.0,2.23606797749979,1,1,1,"Bacillus~phage~TP21-L,Bacillus~virus~BMBtp2"
79,VC_173_0,3,376.6334075287736,604.2686583255908,0.38396637201566747,0.0017553601005588701,0.0,7.615773105863909,3,3,1.0,5.077182070575939,1,1,1,"Clostridium~phage~phiCT19406B,Clostridium~phage~phiCT453B,Clostridium~phage~phiCTC2B"
80,VC_174_0,4,229.43709348773208,143.98505602725857,0.6144174730549066,6.0289161740494694e-05,2.8284271247461903,5.656854249492381,6,6,1.0,4.501555284615153,1,1,1,"contigs_cluasted2057;size=1,contigs_cluasted2470;size=1,contigs_cluasted827;size=1,contigs_cluasted919;size=1"
81,VC_175_0,4,1681.7330009844163,3.6666030903513636,0.9978244903573689,0.03337650758481726,3.4641016151377544,4.69041575982343,6,6,1.0,4.281872265679157,1,1,1,"Bacillus~phage~Slash,Bacillus~phage~Stahl,Bacillus~phage~Staley,Bacillus~phage~Stills"
82,VC_176_0,2,15.589732071845367,21.44506131866731,0.4209482663359218,0.08122774863430332,8.54400374531753,8.54400374531753,1,1,1.0,8.54400374531753,2,1,1,"Bacillus~phage~Mgbh1,Paenibacillus~phage~Tripp"
83,VC_177_0,6,2602.6937770629474,414.98104640384037,0.8624831797061888,7.545375462866317e-09,4.0,7.874007874011811,15,15,1.0,5.993953481115176,2,1,1,"Enterococcus~phage~BC611,Enterococcus~phage~IMEEF1,Enterococcus~phage~SAP6,Enterococcus~phage~VD13,Enterococcus~phage~vB_EfaS_IME198,Streptococcus~phage~SPQS1"
84,VC_178_0,2,219.16179265958726,430.48325731006696,0.3373562111645807,0.05035106500223273,1.4142135623730951,1.4142135623730951,1,1,1.0,1.4142135623730951,1,1,1,"Clostridium~phage~phiCT19406A,Clostridium~phage~phiCTC2A"
85,VC_179_0,6,1269.47493846959,2187.471410294488,0.3672243680968467,6.400979423123643e-10,1.7320508075688772,6.557438524302,15,15,1.0,5.409327589708107,1,2,2,"Croceibacter~phage~P2559S,contigs_cluasted330;size=1,contigs_cluasted360;size=1,contigs_cluasted404;size=1,contigs_cluasted406;size=2,contigs_cluasted718;size=1"
86,VC_17_0,3,299.7546766012141,0,1.0,0.0,1.4142135623730951,4.69041575982343,3,3,1.0,3.598348360673318,1,1,1,"Acidianus~bottle-shaped~virus,Acidianus~bottle-shaped~virus~2,Acidianus~bottle-shaped~virus~3"
87,VC_180_0,2,66.00875130109837,89.6657833777326,0.4240176560493963,0.07736446174268927,4.123105625617661,4.123105625617661,1,1,1.0,4.123105625617661,1,1,1,"Listeria~phage~P35,Listeria~phage~P40"
