contigsID	Family level (ICTV taxonomic)	Family level (Host)	Genus (Host)	log2FoldChange	enrichment
contigs_cluasted1016;size=2	No classification	No predicted host	No predicted host	-1.713878124	HC_enriched
contigs_cluasted1027;size=1	Myoviridae	Ruminococcaceae	Faecalibacterium	1.841896384	RA_enriched
contigs_cluasted1036;size=3	Myoviridae	No predicted host	No predicted host	-2.334459621	HC_enriched
contigs_cluasted1043;size=1	Siphoviridae	Lachnospiraceae	Blautia	1.438995555	RA_enriched
contigs_cluasted106;size=1	Siphoviridae	No predicted host	No predicted host	-1.692279434	HC_enriched
contigs_cluasted1060;size=1	No classification	Lachnospiraceae	Blautia	-4.304854956	HC_enriched
contigs_cluasted1063;size=1	Podoviridae	Oscillospiraceae	Oscillibacter	-3.888385967	HC_enriched
contigs_cluasted1069;size=1	Siphoviridae	Bacteroidaceae	Bacteroides	-2.871305443	HC_enriched
contigs_cluasted1086;size=1	No classification	No predicted host	No predicted host	-1.375264021	HC_enriched
contigs_cluasted110;size=1	Siphoviridae	No predicted host	No predicted host	-1.662372057	HC_enriched
contigs_cluasted1127;size=1	Myoviridae	Lachnospiraceae	Clostridium	1.418755255	RA_enriched
contigs_cluasted113;size=1	Myoviridae	Prevotellaceae	Prevotella	2.256587991	RA_enriched
contigs_cluasted1143;size=1	No classification	Ruminococcaceae	Ruminococcus	-1.884831558	HC_enriched
contigs_cluasted1154;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-3.497979989	HC_enriched
contigs_cluasted116;size=1	Siphoviridae	Ruminococcaceae	Faecalibacterium	1.156468046	RA_enriched
contigs_cluasted1175;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.35735269	HC_enriched
contigs_cluasted1182;size=1	Myoviridae	Lachnospiraceae	Roseburia	2.764462443	RA_enriched
contigs_cluasted1189;size=1	Siphoviridae	Lachnospiraceae	Clostridium	-2.675584786	HC_enriched
contigs_cluasted1203;size=4	Siphoviridae	Peptococcaceae	Desulfotomaculum	-2.700757889	HC_enriched
contigs_cluasted1205;size=1	Siphoviridae	Lachnospiraceae	Blautia	-3.549440684	HC_enriched
contigs_cluasted1211;size=1	No classification	Lachnospiraceae	Blautia	1.045745099	RA_enriched
contigs_cluasted1262;size=1	Siphoviridae	Bifidobacteriaceae	Bifidobacterium	2.441886548	RA_enriched
contigs_cluasted128;size=1	Siphoviridae	No predicted host	No predicted host	-1.826684472	HC_enriched
contigs_cluasted1297;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.410589215	HC_enriched
contigs_cluasted1301;size=1	Siphoviridae	No predicted host	No predicted host	-1.443124279	HC_enriched
contigs_cluasted1312;size=1	No classification	No predicted host	No predicted host	2.58074341	RA_enriched
contigs_cluasted1322;size=1	Myoviridae	Lactobacillaceae	Lactobacillus	1.212730873	RA_enriched
contigs_cluasted134;size=1	Siphoviridae	Lachnospiraceae	Blautia	-1.901160529	HC_enriched
contigs_cluasted1345;size=2	Myoviridae	Oscillospiraceae	Oscillibacter	-1.889330621	HC_enriched
contigs_cluasted1352;size=1	Siphoviridae	Lachnospiraceae	Lachnospira	-1.161518579	HC_enriched
contigs_cluasted1376;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-2.39347946	HC_enriched
contigs_cluasted138;size=1	Podoviridae	Bacteroidaceae	Bacteroides	-1.045845849	HC_enriched
contigs_cluasted1444;size=2	Myoviridae	No predicted host	No predicted host	-1.552544333	HC_enriched
contigs_cluasted145;size=1	Myoviridae	No predicted host	No predicted host	-1.85496649	HC_enriched
contigs_cluasted152;size=2	Siphoviridae	No predicted host	No predicted host	-1.345253593	HC_enriched
contigs_cluasted1522;size=1	Podoviridae	No predicted host	No predicted host	-2.992763191	HC_enriched
contigs_cluasted153;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.105985306	HC_enriched
contigs_cluasted1553;size=1	Siphoviridae	Erysipelotrichaceae	Coprobacillus	2.234996712	RA_enriched
contigs_cluasted159;size=2	Myoviridae	Bacteroidaceae	Bacteroides	1.698464897	RA_enriched
contigs_cluasted1606;size=1	Myoviridae	No predicted host	No predicted host	1.656318155	RA_enriched
contigs_cluasted161;size=3	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.760670854	HC_enriched
contigs_cluasted163;size=1	Siphoviridae	No predicted host	No predicted host	-1.697293757	HC_enriched
contigs_cluasted167;size=2	Siphoviridae	No predicted host	No predicted host	-2.056879131	HC_enriched
contigs_cluasted1671;size=1	Myoviridae	No predicted host	No predicted host	-1.581310045	HC_enriched
contigs_cluasted17;size=4	Podoviridae	Bacteroidaceae	Bacteroides	-2.923261457	HC_enriched
contigs_cluasted170;size=1	Myoviridae	Prevotellaceae	Prevotella	1.548973548	RA_enriched
contigs_cluasted1763;size=1	Podoviridae	No predicted host	No predicted host	1.027881183	RA_enriched
contigs_cluasted1769;size=2	Podoviridae	Actinomycetaceae	Actinomyces	1.497875264	RA_enriched
contigs_cluasted180;size=1	Podoviridae	Bacteroidaceae	Bacteroides	1.964429028	RA_enriched
contigs_cluasted1844;size=1	Myoviridae	No predicted host	No predicted host	1.465986414	RA_enriched
contigs_cluasted185;size=1	Myoviridae	No predicted host	No predicted host	-1.747994756	HC_enriched
contigs_cluasted1858;size=1	Podoviridae	No predicted host	No predicted host	-2.960674373	HC_enriched
contigs_cluasted1868;size=2	Podoviridae	Eggerthellaceae	Eggerthella	-1.881890035	HC_enriched
contigs_cluasted1878;size=1	No classification	Bifidobacteriaceae	Bifidobacterium	-1.800231753	HC_enriched
contigs_cluasted1889;size=2	Myoviridae	No predicted host	No predicted host	-1.651149638	HC_enriched
contigs_cluasted1898;size=2	No classification	No predicted host	No predicted host	1.525018393	RA_enriched
contigs_cluasted190;size=1	Siphoviridae	Lachnospiraceae	Blautia	-1.361137811	HC_enriched
contigs_cluasted192;size=1	Siphoviridae	No predicted host	No predicted host	-1.171823593	HC_enriched
contigs_cluasted1937;size=1	Podoviridae	Eggerthellaceae	Gordonibacter	-2.113906921	HC_enriched
contigs_cluasted195;size=5	Siphoviridae	Ruminococcaceae	Faecalibacterium	-1.409415353	HC_enriched
contigs_cluasted1957;size=1	Podoviridae	No predicted host	No predicted host	-1.459109469	HC_enriched
contigs_cluasted196;size=3	Siphoviridae	Ruminococcaceae	Faecalibacterium	-1.849209328	HC_enriched
contigs_cluasted1963;size=1	No classification	Bifidobacteriaceae	Bifidobacterium	-5.240364028	HC_enriched
contigs_cluasted198;size=2	Siphoviridae	Ruminococcaceae	Faecalibacterium	1.148706316	RA_enriched
contigs_cluasted199;size=1	Siphoviridae	Lachnospiraceae	Lachnobacterium	-1.381177019	HC_enriched
contigs_cluasted20;size=1	Siphoviridae	No predicted host	No predicted host	-1.173773119	HC_enriched
contigs_cluasted2009;size=1	No classification	Bifidobacteriaceae	Bifidobacterium	-5.222371241	HC_enriched
contigs_cluasted2093;size=1	Inoviridae	Ruminococcaceae	Ruminococcus	-1.226591088	HC_enriched
contigs_cluasted2208;size=1	Podoviridae	Actinomycetaceae	Actinomyces	2.206171251	RA_enriched
contigs_cluasted221;size=3	Siphoviridae	Bacteroidaceae	Bacteroides	3.705768833	RA_enriched
contigs_cluasted2243;size=1	Podoviridae	Lachnospiraceae	Clostridium	-1.056319764	HC_enriched
contigs_cluasted225;size=4	Myoviridae	Corynebacteriaceae	Corynebacterium	-4.022275029	HC_enriched
contigs_cluasted23;size=1	Siphoviridae	Lachnospiraceae	Blautia	-1.626472735	HC_enriched
contigs_cluasted231;size=5	Siphoviridae	Streptomycetaceae	Streptomyces	-2.233491494	HC_enriched
contigs_cluasted234;size=1	crAss-like phage	No predicted host	No predicted host	-3.241730201	HC_enriched
contigs_cluasted235;size=2	Myoviridae	No predicted host	No predicted host	2.583465565	RA_enriched
contigs_cluasted2372;size=1	Podoviridae	No predicted host	No predicted host	1.107717936	RA_enriched
contigs_cluasted238;size=4	Siphoviridae	Bacteroidaceae	Bacteroides	-3.757096023	HC_enriched
contigs_cluasted242;size=1	No classification	Ruminococcaceae	Faecalibacterium	-1.535324862	HC_enriched
contigs_cluasted2436;size=1	Podoviridae	Lachnospiraceae	Blautia	-2.048577019	HC_enriched
contigs_cluasted2437;size=1	Myoviridae	Bacteroidaceae	Bacteroides	-2.28490849	HC_enriched
contigs_cluasted2450;size=1	Podoviridae	Actinomycetaceae	Actinomyces	1.767876515	RA_enriched
contigs_cluasted2460;size=1	No classification	Lachnospiraceae	Blautia	-1.846752115	HC_enriched
contigs_cluasted2471;size=1	Podoviridae	Lachnospiraceae	Blautia	-1.072130431	HC_enriched
contigs_cluasted249;size=1	Siphoviridae	Streptomycetaceae	Streptomyces	-1.015313713	HC_enriched
contigs_cluasted250;size=1	Myoviridae	No predicted host	No predicted host	-1.243212415	HC_enriched
contigs_cluasted257;size=1	Podoviridae	Prevotellaceae	Prevotella	-1.482194821	HC_enriched
contigs_cluasted2576;size=1	Podoviridae	Ruminococcaceae	Ruminococcus	-4.439670604	HC_enriched
contigs_cluasted2621;size=6	Podoviridae	No predicted host	No predicted host	-1.77210203	HC_enriched
contigs_cluasted2634;size=1	Podoviridae	No predicted host	No predicted host	-2.431079589	HC_enriched
contigs_cluasted265;size=3	Siphoviridae	No predicted host	No predicted host	-1.987264982	HC_enriched
contigs_cluasted267;size=2	crAss-like phage	Bacteroidaceae	Bacteroides	-3.196885456	HC_enriched
contigs_cluasted269;size=1	No classification	Ruminococcaceae	Ruminococcus	-3.533809064	HC_enriched
contigs_cluasted271;size=1	No classification	Bacteroidaceae	Bacteroides	1.034734973	RA_enriched
contigs_cluasted272;size=1	Inoviridae	No predicted host	No predicted host	-1.476011441	HC_enriched
contigs_cluasted2775;size=1	Siphoviridae	No predicted host	No predicted host	1.00612861	RA_enriched
contigs_cluasted2821;size=1	Podoviridae	Erysipelotrichaceae	Eubacterium	-1.978845574	HC_enriched
contigs_cluasted288;size=5	No classification	Ruminococcaceae	Faecalibacterium	-4.65022856	HC_enriched
contigs_cluasted297;size=1	Siphoviridae	No predicted host	No predicted host	-1.808508387	HC_enriched
contigs_cluasted304;size=9	Myoviridae	Ruminococcaceae	Faecalibacterium	-4.006300715	HC_enriched
contigs_cluasted3067;size=1	Siphoviridae	No predicted host	No predicted host	-1.897188303	HC_enriched
contigs_cluasted3134;size=1	Podoviridae	Lachnospiraceae	Blautia	-1.515192885	HC_enriched
contigs_cluasted315;size=3	Siphoviridae	Rikenellaceae	Alistipes	-7.01947716	HC_enriched
contigs_cluasted317;size=1	Siphoviridae	Erysipelotrichaceae	Turicibacter	1.500271716	RA_enriched
contigs_cluasted323;size=1	Siphoviridae	Lachnospiraceae	Blautia	-1.843730574	HC_enriched
contigs_cluasted3298;size=1	Microviridae	Rikenellaceae	Alistipes	-1.967465474	HC_enriched
contigs_cluasted330;size=1	Siphoviridae	Flavobacteriaceae	Croceibacter	-3.690170485	HC_enriched
contigs_cluasted333;size=2	Siphoviridae	Lachnospiraceae	Blautia	-1.40322846	HC_enriched
contigs_cluasted334;size=7	Siphoviridae	Bacteroidaceae	Bacteroides	-2.145066471	HC_enriched
contigs_cluasted337;size=1	Myoviridae	No predicted host	No predicted host	1.042770969	RA_enriched
contigs_cluasted339;size=1	Myoviridae	Lachnospiraceae	Clostridium	1.334044041	RA_enriched
contigs_cluasted340;size=1	Siphoviridae	Ruminococcaceae	Flavonifractor	-1.030699893	HC_enriched
contigs_cluasted35;size=1	Inoviridae	No predicted host	No predicted host	-2.205208626	HC_enriched
contigs_cluasted353;size=1	No classification	Lachnospiraceae	Blautia	-2.178709622	HC_enriched
contigs_cluasted359;size=1	Myoviridae	Enterobacteriaceae	Salmonella	-2.958079768	HC_enriched
contigs_cluasted36;size=8	Siphoviridae	Xanthomonadaceae	Stenotrophomonas	-2.816664049	HC_enriched
contigs_cluasted360;size=1	Siphoviridae	Tannerellaceae	Parabacteroides	-2.533053215	HC_enriched
contigs_cluasted3610;size=1	Podoviridae	Actinomycetaceae	Actinomyces	1.144872605	RA_enriched
contigs_cluasted3728;size=1	No classification	No predicted host	No predicted host	-1.427606285	HC_enriched
contigs_cluasted378;size=2	Myoviridae	Ruminococcaceae	Faecalibacterium	1.784470242	RA_enriched
contigs_cluasted38;size=1	Siphoviridae	No predicted host	No predicted host	-3.12684679	HC_enriched
contigs_cluasted382;size=9	Siphoviridae	Bacteroidaceae	Bacteroides	-2.307300794	HC_enriched
contigs_cluasted3825;size=1	Inoviridae	Lachnospiraceae	Roseburia	-1.147421808	HC_enriched
contigs_cluasted3848;size=4	Podoviridae	No predicted host	No predicted host	-1.640323919	HC_enriched
contigs_cluasted385;size=1	Podoviridae	No predicted host	No predicted host	1.416353591	RA_enriched
contigs_cluasted3872;size=5	Microviridae	Bacteroidaceae	Bacteroides	-3.306984327	HC_enriched
contigs_cluasted39;size=2	No classification	Ruminococcaceae	Ruminococcus	-1.658628312	HC_enriched
contigs_cluasted390;size=5	Myoviridae	Ruminococcaceae	Flavonifractor	-2.36789269	HC_enriched
contigs_cluasted3909;size=1	Microviridae	Odoribacteraceae	Butyricimonas	-2.183117074	HC_enriched
contigs_cluasted392;size=1	Siphoviridae	Ruminococcaceae	Flavonifractor	-3.293985894	HC_enriched
contigs_cluasted397;size=1	No classification	Comamonadaceae	Serpentinomonas	-1.750190891	HC_enriched
contigs_cluasted4;size=6	Siphoviridae	Erysipelotrichaceae	Eubacterium	-1.27356385	HC_enriched
contigs_cluasted404;size=1	Siphoviridae	Dysgonomonadaceae	Dysgonomonas	-2.266605448	HC_enriched
contigs_cluasted406;size=2	Siphoviridae	Flavobacteriaceae	Croceibacter	-1.399482533	HC_enriched
contigs_cluasted411;size=3	No classification	Ruminococcaceae	Faecalibacterium	-4.271239316	HC_enriched
contigs_cluasted4113;size=1	Myoviridae	No predicted host	No predicted host	1.348384711	RA_enriched
contigs_cluasted413;size=2	Myoviridae	No predicted host	No predicted host	1.46996226	RA_enriched
contigs_cluasted4244;size=6	Microviridae	Ruminococcaceae	Faecalibacterium	2.588958277	RA_enriched
contigs_cluasted439;size=2	Podoviridae	Oscillospiraceae	Oscillibacter	-1.799444344	HC_enriched
contigs_cluasted442;size=1	No classification	Ruminococcaceae	Faecalibacterium	2.356030826	RA_enriched
contigs_cluasted444;size=1	No classification	No predicted host	No predicted host	-2.388486845	HC_enriched
contigs_cluasted445;size=1	Siphoviridae	No predicted host	No predicted host	-1.311449367	HC_enriched
contigs_cluasted446;size=1	Siphoviridae	Oscillospiraceae	Intestinimonas	-1.562597265	HC_enriched
contigs_cluasted4462;size=2	Microviridae	Odoribacteraceae	Butyricimonas	-2.411910779	HC_enriched
contigs_cluasted4497;size=8	Microviridae	Ruminococcaceae	Faecalibacterium	2.584264351	RA_enriched
contigs_cluasted45;size=1	Inoviridae	No predicted host	No predicted host	-1.451870273	HC_enriched
contigs_cluasted451;size=1	Myoviridae	Oscillospiraceae	Oscillibacter	-4.852199705	HC_enriched
contigs_cluasted454;size=1	Siphoviridae	Oscillospiraceae	Oscillibacter	-2.557863933	HC_enriched
contigs_cluasted456;size=1	Podoviridae	Lachnospiraceae	Clostridium	-1.604069286	HC_enriched
contigs_cluasted4591;size=4	Microviridae	Bacteroidaceae	Bacteroides	5.248650625	RA_enriched
contigs_cluasted4660;size=2	Inoviridae	No predicted host	No predicted host	-2.257861813	HC_enriched
contigs_cluasted467;size=1	Siphoviridae	Clostridiaceae	Butyricicoccus	-1.051150973	HC_enriched
contigs_cluasted4683;size=1	Inoviridae	Lachnospiraceae	Lachnobacterium	-1.659361771	HC_enriched
contigs_cluasted4684;size=1	Myoviridae	No predicted host	No predicted host	-1.078737548	HC_enriched
contigs_cluasted47;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.688880225	HC_enriched
contigs_cluasted470;size=1	Podoviridae	Erysipelotrichaceae	Eubacterium	2.041111468	RA_enriched
contigs_cluasted474;size=3	Siphoviridae	Bacteroidaceae	Bacteroides	-3.669301431	HC_enriched
contigs_cluasted479;size=1	Siphoviridae	No predicted host	No predicted host	-1.982592316	HC_enriched
contigs_cluasted48;size=1	Myoviridae	Bacteroidaceae	Bacteroides	-1.426996889	HC_enriched
contigs_cluasted481;size=1	Siphoviridae	No predicted host	No predicted host	-2.151061062	HC_enriched
contigs_cluasted4878;size=3	Microviridae	Bacteroidaceae	Bacteroides	-1.468203834	HC_enriched
contigs_cluasted4884;size=5	Microviridae	Prevotellaceae	Prevotella	-6.084405747	HC_enriched
contigs_cluasted496;size=11	Podoviridae	Lachnospiraceae	Clostridium	2.236241364	RA_enriched
contigs_cluasted498;size=5	Siphoviridae	Erysipelotrichaceae	Erysipelatoclostridium	3.241544769	RA_enriched
contigs_cluasted5024;size=3	Microviridae	Bacteroidaceae	Bacteroides	4.308809024	RA_enriched
contigs_cluasted503;size=1	Myoviridae	Ruminococcaceae	Faecalibacterium	1.21145524	RA_enriched
contigs_cluasted5052;size=1	Inoviridae	No predicted host	No predicted host	1.07176334	RA_enriched
contigs_cluasted506;size=2	Siphoviridae	No predicted host	No predicted host	-1.660688063	HC_enriched
contigs_cluasted508;size=1	Siphoviridae	Actinomycetaceae	Actinomyces	3.039822039	RA_enriched
contigs_cluasted5093;size=1	Microviridae	Bacteroidaceae	Bacteroides	4.194949188	RA_enriched
contigs_cluasted5114;size=3	Microviridae	Bacteroidaceae	Bacteroides	-6.932054417	HC_enriched
contigs_cluasted5117;size=7	Microviridae	Bacteroidaceae	Bacteroides	1.967935063	RA_enriched
contigs_cluasted516;size=2	Siphoviridae	Streptomycetaceae	Streptomyces	1.475150058	RA_enriched
contigs_cluasted5187;size=4	Microviridae	Bacteroidaceae	Bacteroides	4.14033587	RA_enriched
contigs_cluasted5198;size=6	Microviridae	No predicted host	No predicted host	-4.976555631	HC_enriched
contigs_cluasted5211;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.702325312	HC_enriched
contigs_cluasted524;size=1	Siphoviridae	No predicted host	No predicted host	-1.857377551	HC_enriched
contigs_cluasted5249;size=3	Microviridae	No predicted host	No predicted host	-4.250751421	HC_enriched
contigs_cluasted5269;size=4	Microviridae	Bacteroidaceae	Bacteroides	1.101394707	RA_enriched
contigs_cluasted5270;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.904953683	HC_enriched
contigs_cluasted5316;size=1	Microviridae	Odoribacteraceae	Butyricimonas	-1.838683841	HC_enriched
contigs_cluasted5374;size=4	Microviridae	Bacteroidaceae	Bacteroides	1.940937184	RA_enriched
contigs_cluasted5400;size=1	Microviridae	Bacteroidaceae	Bacteroides	-2.672626035	HC_enriched
contigs_cluasted5447;size=1	Microviridae	Bacteroidaceae	Bacteroides	-3.497598277	HC_enriched
contigs_cluasted5453;size=1	Microviridae	Bacteroidaceae	Bacteroides	-2.245765397	HC_enriched
contigs_cluasted5455;size=2	No classification	Bacteroidaceae	Bacteroides	-4.331641767	HC_enriched
contigs_cluasted5456;size=1	Microviridae	Bacteroidaceae	Bacteroides	-4.459302528	HC_enriched
contigs_cluasted5463;size=1	Microviridae	Bacteroidaceae	Bacteroides	-3.621866462	HC_enriched
contigs_cluasted5464;size=1	Microviridae	Bacteroidaceae	Bacteroides	-2.260629507	HC_enriched
contigs_cluasted5473;size=1	Microviridae	Bacteroidaceae	Bacteroides	-3.792093191	HC_enriched
contigs_cluasted5483;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.664973471	HC_enriched
contigs_cluasted5486;size=7	Microviridae	Bacteroidaceae	Bacteroides	-3.483328374	HC_enriched
contigs_cluasted5487;size=1	Microviridae	Odoribacteraceae	Butyricimonas	-1.20738711	HC_enriched
contigs_cluasted549;size=3	Siphoviridae	Lachnospiraceae	Clostridium	-1.423185364	HC_enriched
contigs_cluasted5514;size=1	Microviridae	No predicted host	No predicted host	-3.575553918	HC_enriched
contigs_cluasted5547;size=6	Microviridae	Bacteroidaceae	Bacteroides	1.738482391	RA_enriched
contigs_cluasted5549;size=4	Microviridae	Bacteroidaceae	Bacteroides	1.773302064	RA_enriched
contigs_cluasted5551;size=1	No classification	No predicted host	No predicted host	-2.269976386	HC_enriched
contigs_cluasted556;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-2.131044325	HC_enriched
contigs_cluasted5580;size=1	Microviridae	No predicted host	No predicted host	-1.080067911	HC_enriched
contigs_cluasted5588;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.701429008	HC_enriched
contigs_cluasted5593;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.627725678	RA_enriched
contigs_cluasted5594;size=1	Microviridae	Bacteroidaceae	Bacteroides	-4.04780645	HC_enriched
contigs_cluasted5614;size=2	Microviridae	Bacteroidaceae	Bacteroides	-4.072159265	HC_enriched
contigs_cluasted5615;size=2	Microviridae	Bacteroidaceae	Bacteroides	-1.975169987	HC_enriched
